Tamanho,Insertion Sort,Merge Sort,Quick Sort
0,0.000000,0.000000,0.000000
20000,0.227333,0.002667,0.002000
40000,0.919000,0.005000,0.004667
60000,2.151667,0.008667,0.007667
80000,3.795667,0.011333,0.010667
100000,8.336667,0.016667,0.014667
120000,9.583333,0.019667,0.018333
140000,12.371667,0.022667,0.021333
160000,17.280000,0.026333,0.025000
180000,21.307667,0.030000,0.028000
200000,26.972333,0.032667,0.031333
220000,30.841000,0.036333,0.035333
240000,35.865000,0.039000,0.038000
260000,43.513667,0.048000,0.045333
280000,52.606333,0.049333,0.049000
300000,60.014667,0.055333,0.054000
320000,68.626667,0.055667,0.054333
340000,78.440000,0.058000,0.057333
360000,88.506333,0.066667,0.065333
380000,99.345000,0.066667,0.066000
400000,110.568000,0.072333,0.073667
